date,time,route_id,route_name,search_start_date,search_end_date,outbound_airline,outbound_time,return_airline,return_time,lowest_price,tracking_key
2026-07-13,02:54,fukuoka,福岡,2027-01-30,2027-02-05,中華航空,06:50,中華航空,18:30,20571,TPE|FUK|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-13,02:53,hokkaido,北海道,2027-01-30,2027-02-05,星宇航空,09:20,星宇航空,15:20,39245,TPE|CTS|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-13,02:55,osaka,大阪,2027-01-30,2027-02-05,中華航空,09:45,中華航空,12:45,20328,TPE|OSA|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-13,02:52,tokyo,東京,2027-01-30,2027-02-05,國泰航空,12:50,國泰航空,15:30,20163,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-14,10:18,tokyo,東京,2027-01-30,2027-02-05,國泰航空,12:50,國泰航空,15:30,20161,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-15,21:58,tokyo,東京,2027-01-30,2027-02-05,國泰航空,12:50,國泰航空,15:30,19983,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-16,11:03,tokyo,東京,2027-01-30,2027-02-05,星宇航空,10:10,星宇航空,13:45,17130,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-17,07:02,tokyo,東京,2027-01-30,2027-02-05,國泰航空,12:50,國泰航空,15:30,17561,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-18,23:02,tokyo,東京,2027-01-30,2027-02-05,國泰航空,12:50,國泰航空,15:30,18712,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-19,19:02,tokyo,東京,2027-01-30,2027-02-05,國泰航空,12:50,國泰航空,,17566,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-20,00:30,tokyo,東京,2027-01-30,2027-02-05,國泰航空,12:50,國泰航空,15:30,18676,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-21,07:02,tokyo,東京,2027-01-30,2027-02-05,國泰航空,12:50,國泰航空,15:30,19002,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-22,07:03,tokyo,東京,2027-01-30,2027-02-05,國泰航空,12:50,國泰航空,15:30,20141,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-23,07:02,tokyo,東京,2027-01-30,2027-02-05,國泰航空,12:50,國泰航空,15:30,20138,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-24,07:03,tokyo,東京,2027-01-30,2027-02-05,國泰航空,12:50,國泰航空,15:30,20144,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-25,07:02,tokyo,東京,2027-01-30,2027-02-05,國泰航空,12:50,國泰航空,15:30,20132,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-26,07:02,tokyo,東京,2027-01-30,2027-02-05,國泰航空,12:50,國泰航空,15:30,20132,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-27,07:02,tokyo,東京,2027-01-30,2027-02-05,國泰航空,12:50,國泰航空,15:30,20132,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-28,07:03,tokyo,東京,2027-01-30,2027-02-05,國泰航空,12:50,國泰航空,15:30,20132,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-29,07:03,tokyo,東京,2027-01-30,2027-02-05,國泰航空,12:50,國泰航空,15:30,20133,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-30,07:03,tokyo,東京,2027-01-30,2027-02-05,國泰航空,12:50,國泰航空,15:30,20138,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-31,07:02,tokyo,東京,2027-01-30,2027-02-05,國泰航空,12:50,國泰航空,15:30,20140,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-08-01,11:03,tokyo,東京,2027-01-30,2027-02-05,國泰航空,12:50,國泰航空,15:30,18821,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
