query_datetime,route_id,route_name,search_start_date,search_end_date,outbound_airline,outbound_time,return_airline,return_time,current_price,today_lowest_price,tracking_key
2026-07-13 02:52:15,tokyo,東京,2027-01-30,2027-02-05,國泰航空,12:50,國泰航空,15:30,20163,20163,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-13 02:53:16,hokkaido,北海道,2027-01-30,2027-02-05,星宇航空,09:20,星宇航空,15:20,39245,39245,TPE|CTS|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-13 02:54:17,fukuoka,福岡,2027-01-30,2027-02-05,中華航空,06:50,中華航空,18:30,20571,20571,TPE|FUK|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-13 02:55:18,osaka,大阪,2027-01-30,2027-02-05,中華航空,09:45,中華航空,12:45,20328,20328,TPE|OSA|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-13 10:35:48,tokyo,東京,2027-01-30,2027-02-05,國泰航空,12:50,國泰航空,15:30,20163,20163,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-13 10:36:49,hokkaido,北海道,2027-01-30,2027-02-05,星宇航空,09:20,星宇航空,15:20,39245,39245,TPE|CTS|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-13 10:37:50,fukuoka,福岡,2027-01-30,2027-02-05,中華航空,06:50,中華航空,18:30,20571,20571,TPE|FUK|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-13 10:38:51,osaka,大阪,2027-01-30,2027-02-05,中華航空,09:45,中華航空,12:45,20328,20328,TPE|OSA|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-13 21:25:23,tokyo,東京,2027-01-30,2027-02-05,國泰航空,12:50,國泰航空,15:30,20163,20163,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-13 21:26:24,hokkaido,北海道,2027-01-30,2027-02-05,星宇航空,09:20,星宇航空,15:20,39245,39245,TPE|CTS|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-13 21:27:25,fukuoka,福岡,2027-01-30,2027-02-05,中華航空,06:50,中華航空,18:30,20571,20571,TPE|FUK|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-13 21:28:26,osaka,大阪,2027-01-30,2027-02-05,中華航空,09:45,中華航空,12:45,20328,20328,TPE|OSA|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-14 10:18:52,tokyo,東京,2027-01-30,2027-02-05,國泰航空,12:50,國泰航空,15:30,20161,20161,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-14 10:54:04,tokyo,東京,2027-01-30,2027-02-05,國泰航空,12:50,國泰航空,15:30,20161,20161,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-14 11:28:43,tokyo,東京,2027-01-30,2027-02-05,國泰航空,12:50,國泰航空,15:30,20161,20161,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-14 11:32:26,tokyo,東京,2027-01-30,2027-02-05,國泰航空,12:50,國泰航空,15:30,20161,20161,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-14 15:02:36,tokyo,東京,2027-01-30,2027-02-05,國泰航空,12:50,國泰航空,15:30,20161,20161,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-14 21:02:28,tokyo,東京,2027-01-30,2027-02-05,國泰航空,12:50,國泰航空,15:30,20161,20161,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-15 09:02:34,tokyo,東京,2027-01-30,2027-02-05,國泰航空,12:50,國泰航空,15:30,20163,20163,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-15 15:03:15,tokyo,東京,2027-01-30,2027-02-05,星宇航空,10:10,星宇航空,13:45,20051,20051,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-15 18:02:04,tokyo,東京,2027-01-30,2027-02-05,星宇航空,10:10,星宇航空,13:45,20051,20051,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-15 21:02:42,tokyo,東京,2027-01-30,2027-02-05,星宇航空,10:10,星宇航空,13:45,20051,20051,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-15 21:58:53,tokyo,東京,2027-01-30,2027-02-05,國泰航空,12:50,國泰航空,15:30,19983,19983,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-15 23:43:15,tokyo,東京,2027-01-30,2027-02-05,星宇航空,10:10,星宇航空,13:45,20051,19983,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-16 00:18:37,tokyo,東京,2027-01-30,2027-02-05,國泰航空,12:50,國泰航空,15:30,18338,18338,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-16 00:31:43,tokyo,東京,2027-01-30,2027-02-05,星宇航空,10:10,星宇航空,13:45,19326,18338,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-16 00:53:15,tokyo,東京,2027-01-30,2027-02-05,星宇航空,10:10,星宇航空,13:45,19326,18338,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-16 09:02:46,tokyo,東京,2027-01-30,2027-02-05,星宇航空,10:10,星宇航空,13:45,19326,18338,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-16 11:03:01,tokyo,東京,2027-01-30,2027-02-05,星宇航空,10:10,星宇航空,13:45,17130,17130,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-16 11:16:36,tokyo,東京,2027-01-30,2027-02-05,星宇航空,10:10,星宇航空,13:45,19326,17130,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-16 15:02:58,tokyo,東京,2027-01-30,2027-02-05,國泰航空,12:50,國泰航空,,19867,17130,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-16 19:03:07,tokyo,東京,2027-01-30,2027-02-05,國泰航空,12:50,國泰航空,15:30,19871,17130,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
2026-07-16 23:03:09,tokyo,東京,2027-01-30,2027-02-05,國泰航空,12:50,國泰航空,15:30,18705,17130,TPE|TYO|2027-01-30|2027-02-05|True|05:00-14:00|12:00-22:00|A2C1I0
