query_id,route_id,route_name,departure_date,return_date,source,airline,departure_time,return_time,price,status,error_message,query_started_at,query_finished_at,url,debug_screenshot,debug_html,debug_dom,selected_lowest
20260725_110704,tokyo,東京,2027-01-30,2027-02-06,eztravel,國泰,12:50,15:30,21975,SUCCESS,,2026-07-25T11:07:04,2026-07-25T11:19:16,https://flight.eztravel.com.tw/tickets-roundtrip-TPE-TYO/?outbounddate=30%2F01%2F2027&inbounddate=06%2F02%2F2027&dport=&aport=&adults=2&children=1&infants=0&direct=true&cabintype=&airline=&searchbox=s,,,,
20260725_110704,tokyo,東京,2027-01-30,2027-02-07,eztravel,國泰,12:50,15:30,27383,SUCCESS,,2026-07-25T11:08:36,2026-07-25T11:19:16,https://flight.eztravel.com.tw/tickets-roundtrip-TPE-TYO/?outbounddate=30%2F01%2F2027&inbounddate=07%2F02%2F2027&dport=&aport=&adults=2&children=1&infants=0&direct=true&cabintype=&airline=&searchbox=s,,,,
20260725_110704,tokyo,東京,2027-01-30,2027-02-08,eztravel,國泰,12:50,15:30,27383,SUCCESS,,2026-07-25T11:10:07,2026-07-25T11:19:16,https://flight.eztravel.com.tw/tickets-roundtrip-TPE-TYO/?outbounddate=30%2F01%2F2027&inbounddate=08%2F02%2F2027&dport=&aport=&adults=2&children=1&infants=0&direct=true&cabintype=&airline=&searchbox=s,,,,
20260725_110704,tokyo,東京,2027-01-30,2027-02-09,eztravel,星宇,10:10,13:45,23633,SUCCESS,,2026-07-25T11:11:39,2026-07-25T11:19:16,https://flight.eztravel.com.tw/tickets-roundtrip-TPE-TYO/?outbounddate=30%2F01%2F2027&inbounddate=09%2F02%2F2027&dport=&aport=&adults=2&children=1&infants=0&direct=true&cabintype=&airline=&searchbox=s,,,,
20260725_110704,tokyo,東京,2027-01-31,2027-02-06,eztravel,國泰,12:50,15:30,19775,SUCCESS,,2026-07-25T11:13:10,2026-07-25T11:19:16,https://flight.eztravel.com.tw/tickets-roundtrip-TPE-TYO/?outbounddate=31%2F01%2F2027&inbounddate=06%2F02%2F2027&dport=&aport=&adults=2&children=1&infants=0&direct=true&cabintype=&airline=&searchbox=s,,,,YES
20260725_110704,tokyo,東京,2027-01-31,2027-02-07,eztravel,國泰,12:50,15:30,25183,SUCCESS,,2026-07-25T11:14:42,2026-07-25T11:19:16,https://flight.eztravel.com.tw/tickets-roundtrip-TPE-TYO/?outbounddate=31%2F01%2F2027&inbounddate=07%2F02%2F2027&dport=&aport=&adults=2&children=1&infants=0&direct=true&cabintype=&airline=&searchbox=s,,,,
20260725_110704,tokyo,東京,2027-01-31,2027-02-08,eztravel,國泰,12:50,15:30,25183,SUCCESS,,2026-07-25T11:16:13,2026-07-25T11:19:16,https://flight.eztravel.com.tw/tickets-roundtrip-TPE-TYO/?outbounddate=31%2F01%2F2027&inbounddate=08%2F02%2F2027&dport=&aport=&adults=2&children=1&infants=0&direct=true&cabintype=&airline=&searchbox=s,,,,
20260725_110704,tokyo,東京,2027-01-31,2027-02-09,eztravel,國泰,12:50,,22609,PARSE_ERROR,return_time cannot be empty.,2026-07-25T11:17:45,2026-07-25T11:19:16,https://flight.eztravel.com.tw/tickets-roundtrip-TPE-TYO/?outbounddate=31%2F01%2F2027&inbounddate=09%2F02%2F2027&dport=&aport=&adults=2&children=1&infants=0&direct=true&cabintype=&airline=&searchbox=s,,,,
20260725_110704,tokyo,東京,2027-01-30,2027-02-06,skyscanner,,,,,BLOCKED,"skyscanner blocked the request with captcha: https://www.skyscanner.com.tw/sttc/px/captcha-v2/index.html?url=L2ZsaWdodHMvZGF5LXZpZXc/b3V0Ym91bmREYXRlPTIwMjctMDEtMzAmaW5ib3VuZERhdGU9MjAyNy0wMi0wNiZhZHVsdHN2Mj0xJmNhYmluY2xhc3M9ZWNvbm9teSZzb3J0Ynk9Y2hlYXBlc3QmcHJlZmVyRGlyZWN0cz10cnVlJm91dGJvdW5kYWx0c2VuYWJsZWQ9ZmFsc2UmaW5ib3VuZGFsdHNlbmFibGVkPWZhbHNlJmN1cnJlbmN5PVRXRCZvcmlnaW49VFBFJmxvY2FsZT16aC1UVyZtYXJrZXQ9VFcmZGVzdGluYXRpb249VFlP&uuid=9eb876a3-87d7-11f1-9e6c-f14858c61c02&vid=
Traceback (most recent call last):
  File ""/home/runner/work/plane-ticket/plane-ticket/flight_tracker/range_search.py"", line 496, in run_range_search
    quotes = source.search(query_config, route)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/runner/work/plane-ticket/plane-ticket/flight_tracker/sources/browser_source.py"", line 32, in search
    raise RuntimeError(f""{self.name} blocked the request with captcha: {page.url}"")
RuntimeError: skyscanner blocked the request with captcha: https://www.skyscanner.com.tw/sttc/px/captcha-v2/index.html?url=L2ZsaWdodHMvZGF5LXZpZXc/b3V0Ym91bmREYXRlPTIwMjctMDEtMzAmaW5ib3VuZERhdGU9MjAyNy0wMi0wNiZhZHVsdHN2Mj0xJmNhYmluY2xhc3M9ZWNvbm9teSZzb3J0Ynk9Y2hlYXBlc3QmcHJlZmVyRGlyZWN0cz10cnVlJm91dGJvdW5kYWx0c2VuYWJsZWQ9ZmFsc2UmaW5ib3VuZGFsdHNlbmFibGVkPWZhbHNlJmN1cnJlbmN5PVRXRCZvcmlnaW49VFBFJmxvY2FsZT16aC1UVyZtYXJrZXQ9VFcmZGVzdGluYXRpb249VFlP&uuid=9eb876a3-87d7-11f1-9e6c-f14858c61c02&vid=
",2026-07-25T11:19:16,2026-07-25T11:19:25,https://www.skyscanner.com.tw/flights/day-view?origin=TPE&destination=TYO&outboundDate=2027-01-30&inboundDate=2027-02-06&adultsv2=1&cabinclass=economy&preferDirects=true&outboundaltsenabled=false&inboundaltsenabled=false&market=TW&locale=zh-TW&currency=TWD&sortby=cheapest,,,,
20260725_110704,tokyo,東京,2027-01-30,2027-02-07,skyscanner,,,,,BLOCKED,"skyscanner blocked the request with captcha: https://www.skyscanner.com.tw/sttc/px/captcha-v2/index.html?url=L2ZsaWdodHMvZGF5LXZpZXc/Y2FiaW5jbGFzcz1lY29ub215JnByZWZlckRpcmVjdHM9dHJ1ZSZvdXRib3VuZGFsdHNlbmFibGVkPWZhbHNlJmluYm91bmRhbHRzZW5hYmxlZD1mYWxzZSZtYXJrZXQ9VFcmbG9jYWxlPXpoLVRXJmN1cnJlbmN5PVRXRCZkZXN0aW5hdGlvbj1UWU8mc29ydGJ5PWNoZWFwZXN0Jm91dGJvdW5kRGF0ZT0yMDI3LTAxLTMwJmluYm91bmREYXRlPTIwMjctMDItMDcmYWR1bHRzdjI9MSZvcmlnaW49VFBF&uuid=a3f44039-87d7-11f1-b096-ba01de47ddc3&vid=
Traceback (most recent call last):
  File ""/home/runner/work/plane-ticket/plane-ticket/flight_tracker/range_search.py"", line 496, in run_range_search
    quotes = source.search(query_config, route)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/runner/work/plane-ticket/plane-ticket/flight_tracker/sources/browser_source.py"", line 32, in search
    raise RuntimeError(f""{self.name} blocked the request with captcha: {page.url}"")
RuntimeError: skyscanner blocked the request with captcha: https://www.skyscanner.com.tw/sttc/px/captcha-v2/index.html?url=L2ZsaWdodHMvZGF5LXZpZXc/Y2FiaW5jbGFzcz1lY29ub215JnByZWZlckRpcmVjdHM9dHJ1ZSZvdXRib3VuZGFsdHNlbmFibGVkPWZhbHNlJmluYm91bmRhbHRzZW5hYmxlZD1mYWxzZSZtYXJrZXQ9VFcmbG9jYWxlPXpoLVRXJmN1cnJlbmN5PVRXRCZkZXN0aW5hdGlvbj1UWU8mc29ydGJ5PWNoZWFwZXN0Jm91dGJvdW5kRGF0ZT0yMDI3LTAxLTMwJmluYm91bmREYXRlPTIwMjctMDItMDcmYWR1bHRzdjI9MSZvcmlnaW49VFBF&uuid=a3f44039-87d7-11f1-b096-ba01de47ddc3&vid=
",2026-07-25T11:19:25,2026-07-25T11:19:34,https://www.skyscanner.com.tw/flights/day-view?origin=TPE&destination=TYO&outboundDate=2027-01-30&inboundDate=2027-02-07&adultsv2=1&cabinclass=economy&preferDirects=true&outboundaltsenabled=false&inboundaltsenabled=false&market=TW&locale=zh-TW&currency=TWD&sortby=cheapest,,,,
